### Footprint positions - created on 2026-04-01T00:37:25 ###
### Printed by KiCad version 10.0.0
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                   Package                       PosX       PosY       Rot  Side
C1        2u2                   C_0603                    156.8620   -95.0300  -90.0000  top
C2        1u                    C_0603                    164.8620   -97.6300    0.0000  top
C101      100n                  C_0603                    157.6000  -105.5500    0.0000  top
C102      100n                  C_0603                    154.0620   -96.6300    0.0000  top
C103      100n                  C_0603                    138.8500   -94.8500  -90.0000  top
C104      100n                  C_0603                    135.8620  -102.1300  180.0000  top
C105      1u                    C_0603                    135.8620  -103.5300  180.0000  top
C106      100n                  C_0603                    154.2000  -106.9500  180.0000  top
C107      10u                   C_0603                    157.3000  -106.9500    0.0000  top
C108      100n                  C_0603                    153.6620  -101.2300    0.0000  top
C109      4u7                   C_0603                    169.1750   -95.7500  180.0000  top
C110      1n                    C_0603                    135.1000  -104.9500    0.0000  top
C111      10u                   C_0603                    123.8120  -104.7000  180.0000  top
C112      1n                    C_0603                    161.5620  -101.7300   90.0000  top
C113      22u                   C_1206                    127.7500  -106.5500    0.0000  top
D101      MSS1P3L-M3/89A        DIODE_MSMP                169.6500   -94.0500    0.0000  top
D102      MSS1P3L-M3/89A        DIODE_MSMP                132.0750  -104.2000    0.0000  top
D103      Orange                D_0603                    166.6750   -99.1000    0.0000  top
D104      Green                 D_0603                    137.2500  -106.8000  180.0000  top
IC101     MCXA156VLH            QFP50P1200X1200X160-64N   145.0340  -100.3300   90.0000  top
J101      USB4105GFA120         GCT_USB4105GFA120         178.5620  -100.3300   90.0000  top
J102      FTS-105-01-F-DV-P-TR  FTS-105-01-X-DV           126.1250  -100.2250   90.0000  top
L101      120                   L_0402                    155.2500  -105.7500  180.0000  top
L102      330                   L_0603                    173.2620   -94.4300  180.0000  top
L103      330                   L_0603                    168.4020   -97.5360  180.0000  top
R101      5k1                   R_0603                    176.4116   -94.4300  180.0000  top
R102      5k1                   R_0603                    175.7680  -106.3244  180.0000  top
R103      33                    R_0603                    154.8620   -98.4300  180.0000  top
R104      33                    R_0603                    154.8620   -99.8300  180.0000  top
R105      10k                   R_0603                    159.0000  -100.9500   90.0000  top
R106      20k                   R_0603                    157.5500  -101.5000  -90.0000  top
R107      10k                   R_0603                    131.6500  -105.9000  180.0000  top
R108      100                   R_0603                    126.6120  -104.7000    0.0000  top
R109      100k                  R_0603                    135.3500   -93.7000  180.0000  top
R110      100k                  R_0603                    137.3620  -100.0300   90.0000  top
R112      100k                  R_0603                    137.4500   -94.8500  -90.0000  top
R113      10k                   R_0603                    162.9620  -101.7300  -90.0000  top
R114      1k                    R_0603                    166.6620  -100.6300    0.0000  top
R115      1k                    R_0603                    134.4500  -106.8000    0.0000  top
SW101     KMR421GULCLFS         KMR421GULCLFS             133.5500   -99.3500    0.0000  top
SW102     KMR421GULCLFS         KMR421GULCLFS             169.3500  -103.6000    0.0000  top
U101      RCLAMP0854P.TCT       UFDFN06_1P6X1P6           171.3000   -98.1250   90.0000  top
U102      XC6227C331PR-G        SOT-89-5                  160.2472   -95.6000    0.0000  top
U103      STMPS2141STR          SOT-23-5                  165.5245   -94.9800    0.0000  top
U104      NSP4201MR6T1G         TSOP-6                    130.8620   -94.7500  180.0000  top
U105      NSP4201MR6T1G         TSOP-6                    126.1250   -94.7500    0.0000  top
Y101      FY0800027             FY0800027                 163.1000  -105.4000  180.0000  top
## End
