PIN MCU,PIN Board,Internal Routing,UART0,UART1,UART2,UART3,UART4,I2C0,I2C1,I2C2,I2C3,SPI0,SPI1,CT0 MAT,CT1 MAT,CT2 MAT,CT3 MAT,CT4 MAT,CT INP,FREQME,PWM0,PWM1,UTICK,ADC0,ADC1,CMP0,CMP1,I3C0,CAN0,TRIG,WUU,FLEXIO,Misc
P0_0,,TMS/SWDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_1,,TCLK/SWCLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_2,,TDO/SWO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_3,,TDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_6,1,,,,,,,HREQ,,,,CS1,,,,,,,2,,,,,A15,,,OUT,,,,,6,CLKOUT
P0_16,3,,,,,,,SDA,,,,CS2,,0,,,,,,,,,2,,,,,SDA,,,IN2,0,
P0_17,2,,,,,,,SCL,,,,CS3,,1,,,,,,,,,3,,,,,SCL,,,,1,
P1_0,10,,,,,,,,SDA,,,SDO,,2,,,,,4,,,,,A16,,IN3,,,,I0,IN6,8,
P1_1,9,,,,,,,,SCL,,,SCK,,3,,,,,5,,,,,A17,,,IN3,,,I1,,9,
P1_2,8,,,,,,,,SDAS,,,SDI,,,0,,,,0,,,,,A18,,,,,TX,O0,,10,
P1_3,7,,,,,,,,SCLS,,,CS0,,,1,,,,1,,,,,A19,,IN1,,,RX,O1,IN7,11,
P1_4,6,,,,RX,,,,,,,CS3,,,2,,,,,CLK IN0,,,,A20,,IN2,,,,,IN8,12,
P1_5,5,,,,TX,,,,,,,CS2,,,3,,,,,CLK IN1,,,,A21,,,IN2,,,,,13,
P1_6,,CAN TXD,,,RTS,,,,,,,PCS1,,,,,,0,6,,,,,A22,,,,,TX,I2,,14,
P1_7,,CAN RXD,,,CTS,,,,,,,,,,,,,1,7,,,,,A23,,,,,RX,O2,IN9,15,
P1_8,11,,,RX,,,,,,SDA,,,,2,,,,,8,CLK IN0,,,,,,,,SDA,,,IN10,16,
P1_9,12,,,TX,,,,,,SCL,,,,3,,,,,9,CLK IN1,,,,,,,,SCL,,,,17,
P1_10,,LED_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_11,4,,,CTS,,,,,,SCLS,,,,,,1,,,,,,,,,A9,,,PUR,RX,O2,IN11,19,
P1_12,13,,,,RX,,,,SDA,,,,,,,2,,,,,,,,,A10,,,,RX,,IN12,20,
P1_13,14,,,,TX,,,,SCL,,,,,,,3,,,,,,,,,A11,,,,TX,I3,,21,
P1_29,,RESET_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_30,,XTAL_48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_31,,EXTAL_48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2_0,15,,RX,,,,CTS,,,,,,,,,0,,,16,,,,,A0,,,,,,I6,IN18,8,
P2_1,16,,TX,,,,RTS,,,,,,,,,1,,,17,,,,,A1,,,,,,I7,,9,
P2_2,17,,RTS,,TX,,,,,,,,,,,2,,,12,,,,,A4,,IN0,,,,I6,,10,DAC0_OUT
P2_3,18,,CTS,,RX,,,,,,,,,,,3,,,13,,,,,,A4,,IN0,,,I7,IN19,11,
P2_4,,EEPROM_HOLD,,,CTS,,,,,,,,,,0,,,,14,,,,,,A0,,,,,,,12,
P2_5,,CAN_STBY,,,RTS,,,,,,,,,,1,,,,15,,,,,,A1,,,,,,,13,
P2_6,19,,,,,,RX,,,,,,CS1,,2,,,,18,,,,,,A3,,,,,O4,,14,
P2_7,20,,,,,,TX,,,,,,,,3,,,,19,,,,,A7,A7,,,,,I5,,15,VREFI
P2_12,,USB0_VBUS_DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2_13,25,,,TX,,,,,,,,,SDO,1,,,,1,,,,,,,A5,,,,TX,I8,,21,OPAMP0_IN
P2_15,26,,,RTS,,,,,,,,,SDI,2,,,,3,,,,,,A2,,,,,,O4,,23,OPAMP0_OUT
P3_0,39,,,,,RX,,,,,,,,,,,,,16,,A0,X0,,,,,,,,I0,IN22,8,
P3_1,38,,,,,TX,,,,,,,,,,,,,17,CLK OUT0,B0,X1,,,,,,,,I1,,9,
P3_6,37,,,,,RTS,,,,,,,CS3,,,,,2,,CLK OUT1,A0,A0,,,,,,,,,,14,
P3_7,,CS2 EEPROM,,,,CTS,,,,,,,PCS2,,,,,3,,,B0,B0,,,,,,,,I2,,15,
P3_8,36,SPI1 MOSI,,RX,,,,,,,,,SDO,,,,,,4,,A1,,,,,,,,,I3,IN23,16,CLKOUT
P3_9,35,SPI1 MISO,,TX,,,,,,,,,SDI,,,,,,5,,B1,,,,,,,,,I4,,17,
P3_10,34,SPI1 SCK,,RTS,,,,,,,,,SCK,,0,,,,,,A2,,,,,,,,,I5,,18,
P3_11,,CS0 SD-Card,,CTS,,,,,,,,,PCS0,,1,,,,,,B2,,,,,,,,,I6,IN24,19,
P3_12,,SW SD-Card,,,RTS,TX,,,,,,,,,2,,,,,,X0,A2,,,,,,,,,,20,
P3_13,33,,,,CTS,RX,,,,,,,,,3,,,,,,X1,B2,,,,,,,,,,21,
P3_14,32,,,,RX,CTS,,,,,,,,,,,,,6,,X2,A1,,,,,,,,,IN25,22,
P3_15,31,,,,TX,RTS,,,,,,,,,,,,,7,,,B1,,,,,,,,,,23,
P3_27,30,,,,,,TX,,,,SCL,,,,,,1,,13,,,,,,,,,,,O7,IN30,27,
P3_28,29,,,,,,RX,,,,SDA,,,,,,2,,12,,,,,,,,,,,I11,IN26,28,
P3_29,,ISPMODE_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3_30,28,,,,,,RTS,,,,SCLS,,,2,,,,,,,,,,,A21,,,,,O6,,30,
P3_31,27,,,,,,CTS,,,,SDAS,,,3,,,,,,,,,,,A20,,,,,I10,,31,LPTMR0_ALT2
,23,CAN High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,CAN Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
